sample_no,pair,entry_time,side,family,manual_label,manual_quality,v41_gold_action
1,ETC,2025-11-01 05:53:00+00:00,LONG,SWEEP_RETURN,BORDERLINE,BORDERLINE,REVIEW
2,ATOM,2025-11-02 04:27:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
3,ADA,2025-11-03 22:22:00+00:00,SHORT,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
4,AAVE,2025-11-10 07:04:00+00:00,LONG,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
5,AVAX,2025-11-12 16:45:00+00:00,SHORT,LEVEL_BREAK,BAD_LEVEL,INVALID,REJECT
6,UNI,2025-11-12 23:25:00+00:00,SHORT,BOS_BREAK,WRONG_COUNTERTREND,INVALID,REJECT
7,TRX,2025-11-13 13:01:00+00:00,SHORT,RETEST_REACTION,BAD_HTF_CONTEXT,INVALID,REJECT
8,AVAX,2025-11-17 07:17:00+00:00,LONG,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
9,ATOM,2025-11-22 00:01:00+00:00,SHORT,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
10,LTC,2025-12-04 18:32:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
11,TRX,2025-12-08 18:15:00+00:00,SHORT,LEVEL_BREAK,BAD_LEVEL,INVALID,REJECT
12,LINK,2025-12-10 10:43:00+00:00,LONG,SWEEP_RETURN,STALE_TARGET,INVALID,REJECT
13,SOL,2025-12-13 06:13:00+00:00,SHORT,BOS_BREAK,VALID_DIGASH,VALID,KEEP
14,LTC,2025-12-17 06:26:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
15,UNI,2025-12-20 10:33:00+00:00,LONG,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
16,XRP,2025-12-29 22:44:00+00:00,LONG,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
17,ADA,2026-01-04 00:47:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
18,LINK,2026-01-05 04:51:00+00:00,LONG,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
19,AAVE,2026-01-06 11:46:00+00:00,LONG,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
20,DOT,2026-01-06 19:15:00+00:00,LONG,LEVEL_BREAK,BAD_LEVEL,INVALID,REJECT
21,ETC,2026-01-08 23:32:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
22,ETH,2026-01-14 05:35:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
23,SOL,2026-01-22 01:46:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
24,DOGE,2026-01-22 09:08:00+00:00,LONG,BOS_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
25,AVAX,2026-01-23 18:27:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
26,LTC,2026-01-23 21:09:00+00:00,LONG,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
27,XLM,2026-01-24 17:07:00+00:00,SHORT,RETEST_REACTION,INTERIOR_NOISE,INVALID,REJECT
28,ATOM,2026-01-25 12:23:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
29,BNB,2026-02-04 23:08:00+00:00,LONG,BOS_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
30,BCH,2026-02-09 06:12:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
31,SOL,2026-02-11 15:20:00+00:00,SHORT,RETEST_REACTION,MICRO_STOP_RR,INVALID,REJECT
32,LINK,2026-02-15 18:00:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
33,ADA,2026-02-16 20:43:00+00:00,LONG,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
34,BTC,2026-02-20 01:00:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
35,DOT,2026-02-20 20:41:00+00:00,LONG,SWEEP_RETURN,BAD_SWEEP,INVALID,REJECT
36,LINK,2026-02-21 12:52:00+00:00,LONG,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
37,BTC,2026-03-03 02:45:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
38,LINK,2026-03-07 03:22:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
39,UNI,2026-03-08 11:35:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
40,DOT,2026-03-11 21:53:00+00:00,LONG,BOS_BREAK,BORDERLINE,BORDERLINE,REVIEW
41,DOT,2026-03-12 04:04:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
42,XRP,2026-03-16 04:36:00+00:00,LONG,BOS_BREAK,WRONG_COUNTERTREND,INVALID,REJECT
43,AAVE,2026-03-22 09:18:00+00:00,SHORT,BOS_BREAK,BAD_BOS,INVALID,REJECT
44,FIL,2026-03-22 23:34:00+00:00,SHORT,BOS_BREAK,WRONG_COUNTERTREND,INVALID,REJECT
45,ADA,2026-03-24 18:22:00+00:00,LONG,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
46,SOL,2026-03-24 23:53:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
47,BCH,2026-03-28 00:41:00+00:00,SHORT,SWEEP_RETURN,BORDERLINE,BORDERLINE,REVIEW
48,FIL,2026-04-04 02:10:00+00:00,SHORT,BOS_BREAK,INTERIOR_NOISE,INVALID,REJECT
49,DOT,2026-04-09 00:03:00+00:00,SHORT,SWEEP_RETURN,WRONG_COUNTERTREND,INVALID,REJECT
50,XRP,2026-04-13 18:02:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
51,BNB,2026-04-13 18:42:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
52,LINK,2026-04-14 19:39:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
53,ETH,2026-04-19 22:22:00+00:00,SHORT,SWEEP_RETURN,WRONG_COUNTERTREND,INVALID,REJECT
54,DOGE,2026-04-22 07:34:00+00:00,SHORT,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
55,NEAR,2026-04-22 22:36:00+00:00,LONG,SWEEP_RETURN,BORDERLINE,BORDERLINE,REVIEW
56,SOL,2026-04-23 15:02:00+00:00,SHORT,SWEEP_RETURN,BAD_SWEEP,INVALID,REJECT
57,AVAX,2026-04-24 11:52:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
58,UNI,2026-04-26 08:43:00+00:00,SHORT,SWEEP_RETURN,BAD_SWEEP,INVALID,REJECT
59,NEAR,2026-04-26 18:02:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
60,ATOM,2026-04-26 20:10:00+00:00,LONG,SWEEP_RETURN,BORDERLINE,BORDERLINE,REVIEW
61,XLM,2026-04-27 01:10:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
62,NEAR,2026-04-27 08:45:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
63,LTC,2026-04-29 13:14:00+00:00,SHORT,BOS_BREAK,WRONG_COUNTERTREND,INVALID,REJECT
64,ADA,2026-05-11 05:29:00+00:00,LONG,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
65,ATOM,2026-05-12 15:10:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
66,BNB,2026-05-13 18:19:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
67,LTC,2026-05-15 10:26:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
68,NEAR,2026-05-24 05:44:00+00:00,LONG,SWEEP_RETURN,BAD_SWEEP,INVALID,REJECT
69,ADA,2026-05-28 19:35:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
70,XLM,2026-06-02 14:59:00+00:00,SHORT,SWEEP_RETURN,WRONG_COUNTERTREND,INVALID,REJECT
71,LINK,2026-06-07 18:35:00+00:00,SHORT,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
72,XRP,2026-06-09 19:30:00+00:00,LONG,BOS_BREAK,VALID_DIGASH,VALID,KEEP
73,TRX,2026-06-11 21:40:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
74,XLM,2026-06-13 05:12:00+00:00,LONG,BOS_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
75,DOT,2026-06-13 15:24:00+00:00,LONG,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
76,DOT,2026-06-13 20:41:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
77,AAVE,2026-06-18 07:46:00+00:00,SHORT,BOS_BREAK,BAD_BOS,INVALID,REJECT
78,BNB,2026-06-19 04:56:00+00:00,SHORT,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
79,ETC,2026-06-20 16:44:00+00:00,LONG,BOS_BREAK,INTERIOR_NOISE,INVALID,REJECT
80,ETC,2026-06-21 07:00:00+00:00,SHORT,RETEST_REACTION,MICRO_STOP_RR,INVALID,REJECT
81,UNI,2026-06-22 13:10:00+00:00,LONG,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
82,LTC,2026-06-22 16:59:00+00:00,LONG,LEVEL_BREAK,BAD_LEVEL,INVALID,REJECT
83,ETC,2026-07-04 06:43:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
84,ETC,2026-07-05 08:47:00+00:00,LONG,BOS_BREAK,BORDERLINE,BORDERLINE,REVIEW
85,BNB,2026-07-06 05:55:00+00:00,LONG,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
86,ADA,2026-07-08 12:31:00+00:00,SHORT,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
87,TRX,2026-07-09 10:53:00+00:00,SHORT,BOS_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
88,AAVE,2026-07-10 17:25:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
89,AVAX,2026-07-12 09:55:00+00:00,SHORT,RETEST_REACTION,BAD_RETEST,INVALID,REJECT
90,AVAX,2026-07-13 02:47:00+00:00,SHORT,SWEEP_RETURN,BAD_SWEEP,INVALID,REJECT
91,LINK,2026-07-17 04:58:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE,BORDERLINE,REVIEW
92,XRP,2026-07-22 00:07:00+00:00,LONG,RETEST_REACTION,VALID_DIGASH,VALID,KEEP
93,NEAR,2026-08-03 23:57:00+00:00,LONG,LEVEL_BREAK,VALID_DIGASH,VALID,KEEP
94,XLM,2026-08-08 23:21:00+00:00,LONG,BOS_BREAK,BAD_BOS,INVALID,REJECT
95,AAVE,2026-08-09 02:23:00+00:00,LONG,SWEEP_RETURN,BORDERLINE,BORDERLINE,REVIEW
96,DOT,2026-08-10 01:09:00+00:00,LONG,LEVEL_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
97,XLM,2026-08-10 08:02:00+00:00,LONG,SWEEP_RETURN,WRONG_COUNTERTREND,INVALID,REJECT
98,DOGE,2026-08-15 03:36:00+00:00,SHORT,SWEEP_RETURN,VALID_DIGASH,VALID,KEEP
99,FIL,2026-08-15 12:58:00+00:00,LONG,RETEST_REACTION,BORDERLINE,BORDERLINE,REVIEW
100,TRX,2026-08-18 17:00:00+00:00,LONG,LEVEL_BREAK,BAD_HTF_CONTEXT,INVALID,REJECT
