sample_no,pair,entry_time,side,family,manual_quality
1,ETC,2025-11-01 04:53:00+00:00,LONG,RETEST_REACTION,BORDERLINE
2,ETC,2025-11-01 06:30:00+00:00,LONG,SWEEP_RETURN,INVALID
3,NEAR,2025-11-10 13:33:00+00:00,LONG,RETEST_REACTION,INVALID
4,FIL,2025-11-18 04:49:00+00:00,LONG,RETEST_REACTION,BORDERLINE
5,SOL,2025-11-27 13:08:00+00:00,LONG,RETEST_REACTION,INVALID
6,NEAR,2025-11-29 23:58:00+00:00,SHORT,BOS_BREAK,INVALID
7,NEAR,2025-11-30 02:25:00+00:00,SHORT,LEVEL_BREAK,INVALID
8,LINK,2025-12-01 23:43:00+00:00,SHORT,SWEEP_RETURN,VALID
9,AVAX,2025-12-04 19:53:00+00:00,LONG,RETEST_REACTION,VALID
10,SOL,2025-12-04 22:18:00+00:00,LONG,SWEEP_RETURN,VALID
11,DOGE,2025-12-06 20:04:00+00:00,LONG,RETEST_REACTION,INVALID
12,AAVE,2025-12-08 14:03:00+00:00,LONG,RETEST_REACTION,VALID
13,LINK,2025-12-09 21:50:00+00:00,LONG,LEVEL_BREAK,INVALID
14,ADA,2025-12-09 23:35:00+00:00,LONG,RETEST_REACTION,INVALID
15,AVAX,2025-12-10 15:04:00+00:00,LONG,SWEEP_RETURN,VALID
16,BCH,2025-12-15 02:43:00+00:00,SHORT,LEVEL_BREAK,INVALID
17,TRX,2025-12-16 04:49:00+00:00,SHORT,SWEEP_RETURN,BORDERLINE
18,ADA,2025-12-25 22:03:00+00:00,SHORT,RETEST_REACTION,INVALID
19,LTC,2025-12-27 21:32:00+00:00,LONG,LEVEL_BREAK,VALID
20,XRP,2025-12-29 16:50:00+00:00,LONG,RETEST_REACTION,INVALID
21,FIL,2025-12-29 17:09:00+00:00,LONG,LEVEL_BREAK,VALID
22,NEAR,2025-12-30 23:43:00+00:00,SHORT,BOS_BREAK,INVALID
23,BCH,2026-01-03 05:57:00+00:00,LONG,RETEST_REACTION,BORDERLINE
24,DOT,2026-01-03 06:04:00+00:00,LONG,RETEST_REACTION,VALID
25,AAVE,2026-01-11 22:21:00+00:00,LONG,LEVEL_BREAK,INVALID
26,SOL,2026-01-12 08:08:00+00:00,LONG,LEVEL_BREAK,INVALID
27,AAVE,2026-01-13 00:00:00+00:00,SHORT,LEVEL_BREAK,BORDERLINE
28,AVAX,2026-01-16 22:14:00+00:00,SHORT,RETEST_REACTION,VALID
29,DOGE,2026-01-17 09:15:00+00:00,SHORT,RETEST_REACTION,BORDERLINE
30,UNI,2026-01-19 10:10:00+00:00,SHORT,RETEST_REACTION,INVALID
31,BNB,2026-01-21 06:28:00+00:00,SHORT,RETEST_REACTION,VALID
32,XLM,2026-01-21 15:43:00+00:00,LONG,LEVEL_BREAK,BORDERLINE
33,FIL,2026-01-22 06:44:00+00:00,LONG,SWEEP_RETURN,INVALID
34,ATOM,2026-01-25 11:45:00+00:00,SHORT,RETEST_REACTION,VALID
35,LTC,2026-01-25 15:29:00+00:00,LONG,LEVEL_BREAK,BORDERLINE
